ID^a,R.A.,Decl.,"m_UV^b^,^c",M_UV^c,"r_e/kpc^c^,^d",e,mu_best^e,mu^f,z_photo,,,,,,,,,,
2508-2496,3.604518,-30.380467,${26.40}_{-0.08}^{+0.07}$,$-{20.74}_{-0.08}^{+0.07}$,${0.22}_{-0.07}^{+0.04}$,0.74,1.34,${1.38}_{-0.05}^{+0.07}$,${8.0}_{-0.9}^{+0.9}$,,,,,,,,,,
2481-2561,3.603378,-30.382255,${26.66}_{-0.16}^{+0.16}$,$-{20.48}_{-0.16}^{+0.16}$,${0.70}_{-0.10}^{+0.11}$,0.60,1.42,${1.48}_{-0.06}^{+0.08}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
2306-3089,3.596091,-30.385833,${27.40}_{-0.45}^{+0.21}$,$-{19.74}_{-0.45}^{+0.21}$,${0.31}_{-0.15}^{+0.09}$,0.43,2.13,${2.20}_{-0.12}^{+0.15}$,${8.2}_{-0.9}^{+0.9}$,,,,,,,,,,
2555-2515,3.606461,-30.380996,${27.41}_{-0.22}^{+0.18}$,$-{19.73}_{-0.22}^{+0.18}$,${0.16}_{-0.07}^{+0.05}$,0.89,1.33,${1.40}_{-0.05}^{+0.07}$,${8.0}_{-0.9}^{+0.8}$,,,,,,,,,,
2492-2561,3.603859,-30.382264,${27.23}_{-0.45}^{+0.36}$,$-{19.91}_{-0.45}^{+0.36}$,${0.49}_{-0.19}^{+0.19}$,0.49,1.41,${1.48}_{-0.06}^{+0.08}$,${8.4}_{-0.9}^{+0.9}$,,,,,,,,,,
2557-2513,3.606576,-30.380924,${26.79}_{-0.77}^{+0.30}$,$-{20.35}_{-0.77}^{+0.30}$,${0.77}_{-0.43}^{+0.13}$,0.32,1.33,${1.39}_{-0.05}^{+0.07}$,${7.9}_{-6.1}^{+0.9}$,,,,,,,,,,
2135-2432,3.588980,-30.378668,${29.21}_{-0.16}^{+0.20}$,$-{17.93}_{-0.16}^{+0.20}$,${0.06}_{-0.03}^{+0.05}$,0.76,1.98,${1.79}_{-0.09}^{+0.12}$,${8.0}_{-0.9}^{+0.8}$,,,,,,,,,,
2495-2562,3.603997,-30.382304,${27.20}_{-0.39}^{+0.32}$,$-{19.94}_{-0.39}^{+0.32}$,${1.04}_{-0.33}^{+0.22}$,0.57,1.41,${1.48}_{-0.06}^{+0.08}$,${7.9}_{-6.1}^{+0.9}$,,,,,,,,,,
2216-4356,3.592349,-30.409892,${29.35}_{-0.29}^{+0.31}$,$-{17.79}_{-0.29}^{+0.31}$,${0.12}_{-0.04}^{+0.06}$,0.89,10.81,${9.03}_{-0.70}^{+0.76}$,${7.2}_{-2.0}^{+0.8}$,,,,,,,,,,
2521-2532,3.605062,-30.381463,${28.25}_{-0.49}^{+0.55}$,$-{18.89}_{-0.49}^{+0.55}$,${0.47}_{-0.20}^{+0.38}$,0.45,1.36,${1.42}_{-0.06}^{+0.07}$,${7.7}_{-6.4}^{+0.8}$,,,,,,,,,,
5398-1451,3.474918,-30.362542,${27.68}_{-0.18}^{+0.17}$,$-{19.46}_{-0.18}^{+0.17}$,${0.11}_{-0.04}^{+0.04}$,0.90,1.07,${1.05}_{-0.01}^{+0.01}$,${7.5}_{-1.5}^{+0.8}$,,,,,,,,,,
5021-2024,3.459246,-30.367360,${27.89}_{-0.27}^{+0.30}$,$-{19.25}_{-0.27}^{+0.30}$,${0.21}_{-0.10}^{+0.11}$,0.90,1.07,${1.03}_{-0.01}^{+0.01}$,${7.6}_{-1.8}^{+0.8}$,,,,,,,,,,
